Concept;Feature;WB_Label;WB_Maj;WB_Min;BR_Label;Prod_Freq;Rank_PF;Sum_PF_No_Tax;CPF;Disting;Distinct;CV_No_Tax;Intercorr_Str_Tax;Intercorr_Str_No_Tax;Feat_Length_Including_Spaces;Phon_1st;KF;ln(KF);BNC;ln(BNC);Familiarity;Length_Letters;Length_Phonemes;Length_Syllables;Bigram;Trigram;ColtheartN;Num_Feats_Tax;Num_Feats_No_Tax;Num_Disting_Feats_No_Tax;Disting_Feats_%_No_Tax;Mean_Distinct_No_Tax;Mean_CV_No_Tax;Density_No_Tax;Num_Corred_Pairs_No_Tax;%_Corred_Pairs_No_Tax;Num_Func;Num_Vis_Mot;Num_VisF&S;Num_Vis_Col;Num_Sound;Num_Taste;Num_Smell;Num_Tact;Num_Ency;Num_Tax
boat;is_small;external_surface_property;e;se;visual-form_and_surface;6;10;1229;121;ND;0.008;0.005;0;0;8;b;123;апр.81;7391;авг.91;июнь.55;4;3;1;5962.28;89.92;9;10;10;3;30.0;0.224;0.243;35.46;3;14;3;1;4;0;0;0;0;0;2;0
bolts;is_small;external_surface_property;e;se;visual-form_and_surface;7;8;1229;121;ND;0.008;0.006;0;0;8;b;11;февр.40;1323;июль.19;апр.90;5;5;1;513.14;дек.43;8;13;12;4;33.3;0.338;0.300;122.17;7;25;5;0;5;0;0;0;0;0;2;1
box;is_small;external_surface_property;e;se;visual-form_and_surface;7;7;1229;121;ND;0.008;0.006;0;0;8;b;84;апр.43;11653;сент.36;июль.80;3;4;1;0.00;0.00;11;14;13;4;30.авг;0.364;0.378;48.58;4;11;2;0;10;1;0;0;0;0;0;1
bridge;is_small;external_surface_property;e;se;visual-form_and_surface;5;14;1229;121;ND;0.008;0.004;0;0;8;b;124;апр.82;7562;авг.93;07.окт;6;4;1;517.90;103.16;2;14;13;6;46.2;0.492;0.503;окт.29;1;5;5;0;6;0;0;0;0;0;2;1
buckle;is_small;external_surface_property;e;se;visual-form_and_surface;6;6;1229;121;ND;0.008;0.005;0;0;8;b;7;янв.95;352;май.86;июль.65;6;4;2;1062.77;39.56;1;8;8;3;37.5;0.343;0.338;0.00;0;0;2;0;4;0;0;0;0;0;2;0
budgie;is_small;external_surface_property;e;se;visual-form_and_surface;9;9;1229;121;ND;0.008;0.007;0;0;8;b;1;0.00;143;апр.96;апр.40;6;4;2;149.88;27.янв;0;17;15;1;06.июль;0.116;0.105;586.13;24;26;0;3;3;4;4;0;0;0;1;2
bullet;is_small;external_surface_property;e;se;visual-form_and_surface;12;6;1229;121;ND;0.008;0.010;0;0;8;b;28;март.33;1270;июль.15;март.65;6;5;2;940.43;301.08;4;14;13;7;53.8;0.448;0.416;42.84;2;13;7;1;4;0;0;0;0;0;1;1
bungalow;is_small;external_surface_property;e;se;visual-form_and_surface;15;4;1229;121;ND;0.008;0.012;0;0;8;b;1;0.00;754;июнь.63;апр.30;8;7;3;222.48;июль.53;0;9;8;3;37.5;0.492;0.469;208.87;6;60;2;0;6;0;0;0;0;0;0;1
butterfly;is_small;external_surface_property;e;se;visual-form_and_surface;7;10;1229;121;ND;0.008;0.006;0;0;8;b;3;01.окт;1151;07.май;июнь.15;9;7;3;493.13;43.13;0;15;13;5;38.5;0.399;0.411;112.32;4;14;0;2;3;2;0;0;0;0;6;2
cabin;is_small;external_surface_property;e;se;visual-form_and_surface;9;6;1229;121;ND;0.008;0.007;0;0;8;k;30;март.40;1289;июль.16;05.окт;5;5;2;609.90;48.56;0;10;10;5;50.0;0.444;0.478;12.дек;1;10;2;0;4;0;0;0;0;1;3;0
cage;is_small;external_surface_property;e;se;visual-form_and_surface;6;8;1229;121;ND;0.008;0.005;0;0;8;k;11;февр.40;1346;июль.20;май.65;4;3;1;847.77;75.61;13;13;13;8;61.5;0.657;0.662;июль.37;1;10;6;0;6;0;0;0;0;0;1;0
calf;is_small;external_surface_property;e;se;visual-form_and_surface;11;7;1229;121;ND;0.008;0.009;0;0;8;k;17;февр.83;1083;июнь.99;апр.35;4;3;1;1435.68;313.85;3;14;12;5;41.7;0.409;0.404;114.80;8;38;3;2;5;0;1;0;0;0;1;2
canary;is_small;external_surface_property;e;se;visual-form_and_surface;15;5;1229;121;ND;0.008;0.012;0;0;8;k;1;0.00;372;май.92;март.65;6;6;3;739.32;123.94;1;15;13;0;0.0;0.105;0.105;733.94;25;32;0;3;6;1;2;0;0;0;1;2
cap_(bottle);is_small;external_surface_property;e;se;visual-form_and_surface;11;2;1229;121;ND;0.008;0.009;0;0;8;k;33;март.50;2797;июль.94;июль.95;3;3;1;0.00;0.00;19;9;9;5;55.6;0.505;0.510;0.00;0;0;4;0;4;0;0;0;0;0;1;0
caterpillar;is_small;external_surface_property;e;se;visual-form_and_surface;13;5;1229;121;ND;0.008;0.011;0;0;8;k;2;0.69;375;май.93;май.35;11;8;4;0.00;0.00;0;14;13;4;30.авг;0.297;0.304;20.91;2;6;1;2;3;3;0;0;0;1;3;1
cherry;is_small;external_surface_property;e;se;visual-form_and_surface;14;8;1229;121;ND;0.008;0.011;0;0;8;tS;8;02.авг;1096;7.00;июнь.90;6;4;2;457.23;43.32;2;12;10;1;10.0;0.147;0.171;234.85;12;33;1;0;4;1;0;2;0;0;2;2
chickadee;is_small;external_surface_property;e;se;visual-form_and_surface;19;2;1229;121;ND;0.008;0.015;0;0;8;tS;1;0.00;4;янв.39;март.80;9;6;3;133.44;16.29;0;15;12;0;0.0;0.047;0.045;609.85;20;30;0;1;5;3;2;0;0;0;1;3
chipmunk;is_small;external_surface_property;e;se;visual-form_and_surface;14;1;1229;121;ND;0.008;0.011;0;0;8;tS;1;0.00;26;март.26;6.00;8;7;2;317.21;118.84;0;14;12;2;16.июль;0.203;0.195;100.55;5;11;0;3;3;2;0;0;0;1;3;2
closet;is_small;external_surface_property;e;se;visual-form_and_surface;10;7;1229;121;ND;0.008;0.008;0;0;8;k;12;февр.48;260;май.56;авг.70;6;6;2;777.48;169.04;3;13;12;5;41.7;0.507;0.502;193.98;7;33;3;0;6;0;0;0;0;0;3;1
cockroach;is_small;external_surface_property;e;se;visual-form_and_surface;5;7;1229;121;ND;0.008;0.004;0;0;8;k;2;0.69;147;апр.99;март.60;9;6;2;337.03;янв.88;0;14;13;3;23.янв;0.232;0.194;июль.86;1;2;0;1;5;2;0;0;0;1;4;1
coin;is_small;external_surface_property;e;se;visual-form_and_surface;7;6;1229;121;ND;0.008;0.006;0;0;8;k;19;февр.94;2645;июль.88;авг.85;4;3;1;843.37;42.49;5;11;11;4;36.4;0.375;0.360;0.00;0;0;4;0;6;0;0;0;0;0;1;0
comb;is_small;external_surface_property;e;se;visual-form_and_surface;6;8;1229;121;ND;0.008;0.005;0;0;8;k;7;янв.95;544;июнь.30;июль.90;4;3;1;1700.31;468.74;5;12;12;5;41.7;0.399;0.402;0.00;0;0;4;0;5;1;0;0;0;0;2;0
cottage;is_small;external_surface_property;e;se;visual-form_and_surface;19;1;1229;121;ND;0.008;0.015;0;0;8;k;25;март.22;4034;авг.30;июнь.35;7;5;2;1128.17;157.48;0;13;12;4;33.3;0.419;0.365;84.34;5;18;2;0;5;0;0;0;0;0;5;1
crab;is_small;external_surface_property;e;se;visual-form_and_surface;6;12;1229;121;ND;0.008;0.005;0;0;8;k;2;0.69;565;июнь.34;апр.20;4;4;1;106.15;19.февр;6;16;13;3;23.янв;0.308;0.316;113.65;9;20;1;1;5;1;0;1;0;1;3;3
cranberry;is_small;external_surface_property;e;se;visual-form_and_surface;8;10;1229;121;ND;0.008;0.007;0;0;8;k;1;0.00;121;апр.80;04.май;9;8;3;227.15;17.апр;0;14;12;3;25.0;0.320;0.291;164.30;11;31;2;0;2;1;0;3;0;0;4;2
cushion;is_small;external_surface_property;e;se;visual-form_and_surface;6;11;1229;121;ND;0.008;0.005;0;0;8;k;10;февр.30;1004;июнь.91;июль.90;7;4;2;656.01;265.37;0;16;15;6;40.0;0.331;0.271;202.21;7;19;3;0;6;1;0;0;0;2;3;1
dagger;is_small;external_surface_property;e;se;visual-form_and_surface;9;7;1229;121;ND;0.008;0.007;0;0;8;d;1;0.00;433;06.июль;3.00;6;5;2;1643.90;177.13;2;14;12;3;25.0;0.253;0.256;189.63;9;25;4;0;6;0;0;0;0;1;1;2
fawn;is_small;external_surface_property;e;se;visual-form_and_surface;9;8;1229;121;ND;0.008;0.007;0;0;8;f;1;0.00;145;апр.98;март.80;4;3;1;1039.03;32.82;5;26;21;3;14.март;0.202;0.169;259.81;17;11;2;4;7;1;0;0;0;1;6;5
finch;is_small;external_surface_property;e;se;visual-form_and_surface;17;2;1229;121;ND;0.008;0.014;0;0;8;f;1;0.00;354;май.87;март.25;5;4;1;2077.23;277.85;3;10;9;0;0.0;0.040;0.037;505.99;19;53;0;2;4;1;1;0;0;0;1;1
flea;is_small;external_surface_property;e;se;visual-form_and_surface;24;1;1229;121;ND;0.008;0.020;0;0;8;f;2;0.69;331;май.80;апр.35;4;3;1;273.14;29.33;5;17;15;8;53.3;0.601;0.613;35.23;3;14;0;3;1;1;0;0;0;0;10;2
flute;is_small;external_surface_property;e;se;visual-form_and_surface;5;10;1229;121;ND;0.008;0.004;0;0;8;f;1;0.00;509;июнь.23;апр.60;5;4;1;796.67;38.11;1;13;12;0;0.0;0.086;0.081;180.25;9;14;3;0;7;1;1;0;0;0;0;1
fox;is_small;external_surface_property;e;se;visual-form_and_surface;7;10;1229;121;ND;0.008;0.006;0;0;8;f;13;февр.56;2741;июль.92;апр.70;3;4;1;0.00;0.00;8;17;14;2;14.март;0.175;0.166;209.70;16;24;1;1;6;1;0;0;0;0;5;3
garlic;is_small;external_surface_property;e;se;visual-form_and_surface;5;17;1229;121;ND;0.008;0.004;0;0;8;g;4;янв.39;802;июнь.69;июль.85;6;5;2;571.80;133.71;0;21;20;14;70.0;0.560;0.581;31.75;2;13;10;0;4;1;0;2;2;0;1;1
goldfish;is_small;external_surface_property;e;se;visual-form_and_surface;15;5;1229;121;ND;0.008;0.012;0;0;8;g;1;0.00;365;май.90;июнь.40;8;7;2;203.88;26.69;0;14;11;3;27.март;0.280;0.306;404.92;10;36;0;2;4;2;0;0;0;0;3;3
gopher;is_small;external_surface_property;e;se;visual-form_and_surface;12;5;1229;121;ND;0.008;0.010;0;0;8;g;1;0.00;13;февр.56;февр.60;6;4;2;1841.01;451.34;0;8;7;0;0.0;0.093;0.111;118.59;4;19;0;1;4;1;0;0;0;0;1;1
grape;is_small;external_surface_property;e;se;visual-form_and_surface;9;12;1229;121;ND;0.008;0.007;0;0;8;g;10;февр.30;814;июнь.70;07.окт;5;4;1;764.32;129.28;8;18;17;4;23.май;0.260;0.284;395.19;25;32;4;0;4;3;0;2;0;1;3;1
grasshopper;is_small;external_surface_property;e;se;visual-form_and_surface;7;9;1229;121;ND;0.008;0.006;0;0;8;g;4;янв.39;104;апр.64;апр.95;11;8;3;0.00;0.00;0;13;12;2;16.июль;0.188;0.208;125.51;6;13;1;3;5;1;0;0;0;0;2;1
grater;is_small;external_surface_property;e;se;visual-form_and_surface;5;8;1229;121;ND;0.008;0.004;0;0;8;g;1;0.00;30;март.40;05.май;6;5;2;2348.27;465.82;4;12;11;3;27.март;0.322;0.313;58.54;1;4;5;0;4;0;0;0;0;1;1;1
grenade;is_small;external_surface_property;e;se;visual-form_and_surface;9;10;1229;121;ND;0.008;0.007;0;0;8;g;9;февр.20;373;май.92;февр.20;7;6;2;527.52;55.70;0;15;13;5;38.5;0.354;0.369;50.26;3;11;4;0;4;1;2;0;0;0;2;2
groundhog;is_small;external_surface_property;e;se;visual-form_and_surface;11;4;1229;121;ND;0.008;0.009;0;0;8;g;1;0.00;5;янв.61;март.85;9;8;2;160.91;июль.82;0;14;12;6;50.0;0.495;0.484;94.08;4;27;1;2;1;1;0;0;0;1;6;2
guppy;is_small;external_surface_property;e;se;visual-form_and_surface;11;3;1229;121;ND;0.008;0.009;0;0;8;g;1;0.00;124;апр.82;2.00;5;4;2;145.48;55.28;1;6;5;2;40.0;0.214;0.140;67.15;1;33;1;1;1;0;0;0;0;0;2;1
hamster;is_small;external_surface_property;e;se;visual-form_and_surface;24;1;1229;121;ND;0.008;0.020;0;0;8;h;1;0.00;159;05.июль;06.окт;7;7;2;1228.52;145.19;0;14;10;3;30.0;0.291;0.276;31.91;3;14;0;4;3;1;0;0;0;1;1;4
hare;is_small;external_surface_property;e;se;visual-form_and_surface;6;12;1229;121;ND;0.008;0.005;0;0;8;h;1;0.00;674;июнь.51;март.25;4;3;1;5437.33;314.77;20;18;15;2;13.март;0.166;0.171;150.23;11;14;1;4;7;2;0;0;0;0;1;3
harmonica;is_small;external_surface_property;e;se;visual-form_and_surface;7;6;1229;121;ND;0.008;0.006;0;0;8;h;1;0.00;49;март.89;март.65;9;8;4;257.16;15.69;1;6;5;1;20.0;0.265;0.288;нояб.51;1;17;2;0;2;0;1;0;0;0;0;1
hatchet;is_small;external_surface_property;e;se;visual-form_and_surface;5;8;1229;121;ND;0.008;0.004;0;0;8;h;4;янв.39;75;апр.32;февр.60;7;5;2;872.04;251.30;3;8;6;1;16.июль;0.118;0.061;58.54;1;10;2;0;3;0;0;0;0;1;0;2
house;is_small;external_surface_property;e;se;visual-form_and_surface;6;11;1229;121;ND;0.008;0.005;0;0;8;h;674;июнь.51;61006;11.февр;авг.45;5;3;1;3678.92;705.75;5;16;15;2;13.март;0.222;0.221;333.57;15;19;2;0;10;0;0;0;0;1;2;1
housefly;is_small;external_surface_property;e;se;visual-form_and_surface;13;5;1229;121;ND;0.008;0.011;0;0;8;h;1;0.00;6;янв.79;июнь.85;8;7;2;477.41;01.март;0;15;13;2;15.апр;0.198;0.216;187.63;7;13;1;3;5;1;1;0;0;0;2;2
hut;is_small;external_surface_property;e;se;visual-form_and_surface;17;2;1229;121;ND;0.008;0.014;0;0;8;h;19;февр.94;1620;июль.39;март.25;3;3;1;0.00;0.00;18;6;5;2;40.0;0.354;0.372;0.00;0;0;0;0;4;0;0;0;0;0;1;1
inn;is_small;external_surface_property;e;se;visual-form_and_surface;9;4;1229;121;ND;0.008;0.007;0;0;8;I;10;февр.30;1877;июль.54;май.55;3;2;1;0.00;0.00;2;10;8;3;37.5;0.543;0.548;69.44;4;40;2;0;3;0;0;0;0;0;3;2
key;is_small;external_surface_property;e;se;visual-form_and_surface;12;4;1229;121;ND;0.008;0.010;0;0;8;k;122;апр.80;14964;сент.61;авг.75;3;2;1;0.00;0.00;5;12;12;8;66.7;0.565;0.596;18.24;2;33;5;0;3;2;0;0;0;0;2;0
lime;is_small;external_surface_property;e;se;visual-form_and_surface;7;7;1229;121;ND;0.008;0.006;0;0;8;l;13;февр.56;706;июнь.56;май.35;4;3;1;4096.24;917.57;12;13;12;4;33.3;0.361;0.350;222.23;10;36;3;0;2;1;0;2;0;1;3;1
mandarin;is_small;external_surface_property;e;se;visual-form_and_surface;8;5;1229;121;ND;0.008;0.007;0;0;8;m;1;0.00;329;май.80;март.70;8;8;3;337.79;37.87;0;15;13;0;0.0;0.105;0.080;625.28;33;42;1;0;5;1;0;2;0;1;3;2
marble;is_small;external_surface_property;e;se;visual-form_and_surface;16;2;1229;121;ND;0.008;0.013;0;0;8;m;24;март.18;1575;июль.36;июнь.20;6;6;2;1482.52;164.68;0;14;14;3;21.апр;0.270;0.298;137.71;9;16;4;1;4;2;0;0;0;2;1;0
mat;is_small;external_surface_property;e;se;visual-form_and_surface;5;9;1229;121;ND;0.008;0.004;0;0;8;m;7;янв.95;858;июнь.75;июнь.85;3;3;1;0.00;0.00;22;13;12;7;58.3;0.553;0.523;0.00;0;0;5;0;3;0;0;0;0;0;4;1
mink;is_small;external_surface_property;e;se;visual-form_and_surface;11;4;1229;121;ND;0.008;0.009;0;0;8;m;6;янв.79;273;май.61;февр.35;4;4;1;1282.08;283.22;13;15;13;2;15.апр;0.185;0.182;64.67;7;13;3;1;5;1;0;0;0;2;1;2
minnow;is_small;external_surface_property;e;se;visual-form_and_surface;22;1;1229;121;ND;0.008;0.018;0;0;8;m;1;0.00;107;апр.67;март.55;6;5;2;557.98;126.12;0;13;10;4;40.0;0.378;0.389;303.23;9;60;3;3;3;0;0;0;0;0;1;3
mole_(animal);is_small;external_surface_property;e;se;visual-form_and_surface;17;2;1229;121;ND;0.008;0.014;0;0;8;m;4;янв.39;898;июнь.80;февр.55;4;3;1;2109.31;110.72;14;14;12;3;25.0;0.245;0.245;85.29;3;8;0;2;6;1;0;0;0;1;2;2
moth;is_small;external_surface_property;e;se;visual-form_and_surface;6;6;1229;121;ND;0.008;0.005;0;0;8;m;3;01.окт;540;июнь.29;май.65;4;3;1;4173.43;309.83;5;8;7;2;28.июнь;0.307;0.303;84.35;1;10;0;2;2;2;0;0;0;0;1;1
mouse;is_small;external_surface_property;e;se;visual-form_and_surface;17;1;1229;121;ND;0.008;0.014;0;0;8;m;20;3.00;2912;июль.98;апр.95;5;3;1;3648.97;509.47;6;19;17;7;41.2;0.438;0.434;119.59;8;18;2;2;5;2;1;0;0;0;5;2
mouse_(computer);is_small;external_surface_property;e;se;visual-form_and_surface;10;4;1229;121;ND;0.008;0.008;0;0;8;m;20;3.00;1897;июль.55;авг.60;5;3;1;3648.97;509.47;6;12;12;7;58.3;0.625;0.640;25.68;2;20;3;0;7;0;1;0;0;0;1;0
mushroom;is_small;external_surface_property;e;se;visual-form_and_surface;5;14;1229;121;ND;0.008;0.004;0;0;8;m;4;янв.39;901;июнь.80;июль.20;8;6;2;126.12;31.21;0;16;14;3;21.апр;0.291;0.291;68.68;5;9;5;0;3;2;0;0;0;0;4;2
nectarine;is_small;external_surface_property;e;se;visual-form_and_surface;5;12;1229;121;ND;0.008;0.004;0;0;8;n;1;0.00;36;март.58;июнь.20;9;8;3;881.06;129.29;0;17;16;4;25.0;0.275;0.276;564.33;28;42;0;0;6;1;0;2;0;3;4;1
olive;is_small;external_surface_property;e;se;visual-form_and_surface;6;11;1229;121;ND;0.008;0.005;0;0;8;O;6;янв.79;1174;07.июль;май.70;5;4;2;423.24;87.09;1;17;14;3;21.апр;0.286;0.284;93.98;6;11;6;0;3;3;0;1;0;0;1;3
parakeet;is_small;external_surface_property;e;se;visual-form_and_surface;5;16;1229;121;ND;0.008;0.004;0;0;8;p;1;0.00;40;март.69;февр.95;8;7;3;287.71;33.56;0;16;14;1;07.янв;0.135;0.131;758.74;27;35;0;3;4;1;4;0;0;0;2;2
pearl;is_small;external_surface_property;e;se;visual-form_and_surface;9;6;1229;121;ND;0.008;0.007;0;0;8;p;11;февр.40;1070;июнь.98;05.окт;5;3;1;1708.18;587.54;1;15;15;7;46.7;0.456;0.459;36.37;3;11;2;0;3;2;0;0;0;2;6;0
peas;is_small;external_surface_property;e;se;visual-form_and_surface;20;4;1229;121;ND;0.008;0.016;0;0;8;p;24;март.18;629;июнь.44;июнь.95;4;3;1;1452.57;31.09;11;12;11;2;18.февр;0.223;0.232;140.53;9;25;3;0;2;2;0;1;0;0;3;1
peg;is_small;external_surface_property;e;se;visual-form_and_surface;8;5;1229;121;ND;0.008;0.007;0;0;8;p;6;янв.79;990;июнь.90;май.30;3;3;1;0.00;0.00;13;7;7;0;0.0;0.069;0.053;0.00;0;0;1;0;6;0;0;0;0;0;0;0
penguin;is_small;external_surface_property;e;se;visual-form_and_surface;7;15;1229;121;ND;0.008;0.006;0;0;8;p;1;0.00;600;июнь.40;февр.80;7;7;2;538.53;25.81;0;18;16;5;31.март;0.263;0.300;232.14;14;25;0;3;5;2;0;0;0;0;6;2
pepper;comes_in_small_pieces;external_surface_property;e;se;visual-form_and_surface;8;5;8;1;D;1.000;1.000;0;0;21;p;13;февр.56;1169;07.июнь;июль.80;6;5;2;2019.93;117.93;1;12;10;8;80.0;0.760;0.752;0.00;0;0;3;0;1;1;0;1;0;0;4;2
perch;is_small;external_surface_property;e;se;visual-form_and_surface;9;9;1229;121;ND;0.008;0.007;0;0;8;p;1;0.00;302;май.71;4.00;5;3;1;1344.62;45.01;2;15;13;0;0.0;0.072;0.080;652.54;21;27;2;1;5;0;0;1;0;1;3;2
pin;is_small;external_surface_property;e;se;visual-form_and_surface;16;2;1229;121;ND;0.008;0.013;0;0;8;p;22;03.сент;1844;июль.52;июнь.85;3;3;1;0.00;0.00;18;10;10;2;20.0;0.214;0.187;54.94;4;14;2;0;5;1;0;0;0;1;1;0
pistol;is_small;external_surface_property;e;se;visual-form_and_surface;11;7;1229;121;ND;0.008;0.009;0;0;8;p;4;янв.39;951;июнь.86;3.00;6;5;2;577.48;69.53;1;19;17;3;17.июнь;0.252;0.267;947.40;36;40;7;1;3;0;2;0;0;1;3;2
plum;is_small;external_surface_property;e;se;visual-form_and_surface;18;4;1229;121;ND;0.008;0.015;0;0;8;p;1;0.00;425;06.май;июнь.20;4;4;1;269.63;34.08;5;15;14;2;14.март;0.162;0.173;436.26;23;35;3;0;5;2;0;2;0;1;1;1
pony;a_small_horse;synonym;c;s;taxonomic;7;11;;1;D;1.000;;0;0;13;p;16;февр.77;1114;07.февр;апр.70;4;4;2;1174.63;19.27;7;18;15;3;20.0;0.270;0.257;234.87;17;26;3;2;9;0;0;0;0;0;1;3
pony;is_small;external_surface_property;e;se;visual-form_and_surface;13;2;1229;121;ND;0.008;0.011;0;0;8;p;16;февр.77;1114;07.февр;апр.70;4;4;2;1174.63;19.27;7;18;15;3;20.0;0.270;0.257;234.87;17;26;3;2;9;0;0;0;0;0;1;3
porcupine;is_small;external_surface_property;e;se;visual-form_and_surface;12;3;1229;121;ND;0.008;0.010;0;0;8;p;1;0.00;72;апр.28;март.20;9;8;3;661.25;21.35;0;10;8;2;25.0;0.291;0.276;авг.50;1;7;0;2;3;1;0;0;0;0;2;2
prune;is_small;external_surface_property;e;se;visual-form_and_surface;9;7;1229;121;ND;0.008;0.007;0;0;8;p;1;0.00;205;май.32;май.15;5;4;1;880.90;23.86;2;18;17;7;41.2;0.413;0.384;406.15;20;44;4;0;6;2;0;1;0;1;3;1
python;beh_-_eats_small_animals;entity_behavior;e;b;visual-motion;5;13;5;1;D;1.000;1.000;0;0;24;p;14;февр.64;169;май.13;февр.20;6;4;2;746.39;29.23;0;15;11;2;18.февр;0.322;0.302;164.71;9;25;0;4;4;0;0;0;0;0;3;4
rabbit;is_small;external_surface_property;e;se;visual-form_and_surface;6;8;1229;121;ND;0.008;0.005;0;0;8;r;16;февр.77;2486;июль.82;06.май;6;5;2;344.26;17.13;1;14;12;2;16.июль;0.198;0.182;44.06;4;9;2;2;6;0;0;0;0;1;1;2
raccoon;is_small;external_surface_property;e;se;visual-form_and_surface;7;9;1229;121;ND;0.008;0.006;0;0;8;r;1;0.00;13;февр.56;05.окт;7;5;2;337.53;05.сент;0;12;11;1;09.янв;0.202;0.202;82.17;6;13;0;1;5;2;0;0;0;1;2;1
radish;is_small;external_surface_property;e;se;visual-form_and_surface;17;3;1229;121;ND;0.008;0.014;0;0;8;r;8;02.авг;213;май.36;апр.95;6;5;2;355.56;53.92;1;16;14;2;14.март;0.206;0.212;328.68;15;23;1;0;5;4;0;1;0;1;2;2
raisin;is_small;external_surface_property;e;se;visual-form_and_surface;20;2;1229;121;ND;0.008;0.016;0;0;8;r;1;0.00;173;май.15;июнь.55;6;4;2;503.73;73.35;0;14;13;7;53.8;0.472;0.476;0.00;0;0;3;0;3;3;0;1;0;0;3;1
raspberry;is_small;external_surface_property;e;se;visual-form_and_surface;7;8;1229;121;ND;0.008;0.006;0;0;8;r;1;0.00;280;май.63;июнь.15;9;7;3;167.94;март.24;0;11;9;1;11.янв;0.173;0.167;106.59;8;29;2;0;2;1;0;3;0;0;1;2
rat;is_small;external_surface_property;e;se;visual-form_and_surface;6;15;1229;121;ND;0.008;0.005;0;0;8;r;9;февр.20;2467;июль.81;март.65;3;3;1;0.00;0.00;22;22;20;3;15.0;0.237;0.244;317.63;24;18;1;2;11;2;0;0;0;0;4;2
rice;is_small;external_surface_property;e;se;visual-form_and_surface;12;4;1229;121;ND;0.008;0.010;0;0;8;r;33;март.50;1710;июль.44;июль.50;4;3;1;772.77;176.24;13;10;8;2;25.0;0.205;0.194;июль.13;1;7;2;0;2;2;0;0;0;0;2;2
